Amount,Narration,Status,Entry Type,reference,Reference,Transaction Date
100.00,Sodiq,success,credit,Tmpnakaenij,Tmpnakaenij,12/10/24
10.00,Sodiq,processing,debit,Tvgboepzmcm,Tvgboepzmcm,12/6/24
50.00,,success,debit,Tqzirdqghdq,Tqzirdqghdq,12/3/24
10.00,,success,debit,Tqzirdqghdq,Tqzirdqghdq,12/3/24
100.23,Sodiq,success,credit,Tvgboepzmcm,Tvgboepzmcm,12/6/24
100.23,Sodiq,success,debit,Tvgboepzmcm,Tvgboepzmcm,12/6/24
100.23,Sodiq,success,debit,Tumzfaejlim,Tumzfaejlim,12/4/24
10.00,Sodiq,success,debit,Tumzfaejlim,Tumzfaejlim,12/4/24
100.00,Sodiq,success,credit,Tycnxdknuju,Tycnxdknuju,12/10/24
200.00,,success,debit,Thgcwpogjfj,Thgcwpogjfj,12/6/24
2000.00,,success,debit,Tkntfxfvduq,Tkntfxfvduq,12/4/24
10.00,,success,debit,Tkntfxfvduq,Tkntfxfvduq,12/4/24
10.00,,success,debit,Thgcwpogjfj,Thgcwpogjfj,12/6/24
80.00,,processing,debit,Tpxyxezsnhl,Tpxyxezsnhl,12/6/24
1000.00,,success,debit,Tkmmmcedhmx,Tkmmmcedhmx,12/4/24
10.00,,success,debit,Tkmmmcedhmx,Tkmmmcedhmx,12/4/24
10.00,,processing,debit,Tpxyxezsnhl,Tpxyxezsnhl,12/6/24
49.00,,processing,debit,Tpcwosznlga,Tpcwosznlga,12/6/24
200.00,,success,debit,Tldrrtfpfgo,Tldrrtfpfgo,12/4/24
10.00,,success,debit,Tldrrtfpfgo,Tldrrtfpfgo,12/4/24
10.00,,processing,debit,Tpcwosznlga,Tpcwosznlga,12/6/24
48.00,,success,debit,Tmnapbfehsa,Tmnapbfehsa,12/4/24
10.00,,success,debit,Tmnapbfehsa,Tmnapbfehsa,12/4/24
1414.00,Sodiq,success,debit,Txmglnblfwx,Txmglnblfwx,12/4/24
10.00,Sodiq,success,debit,Txmglnblfwx,Txmglnblfwx,12/4/24
48.00,,success,debit,Tkwbqeyuxll,Tkwbqeyuxll,12/4/24
10.00,,success,debit,Tkwbqeyuxll,Tkwbqeyuxll,12/4/24
69.00,,success,debit,Tbdlalorcmi,Tbdlalorcmi,12/5/24
10.00,,success,debit,Tbdlalorcmi,Tbdlalorcmi,12/5/24
100.23,Sodiq,success,debit,Tekfprzwrkq,Tekfprzwrkq,12/5/24
10.00,Sodiq,success,debit,Tekfprzwrkq,Tekfprzwrkq,12/5/24
10.00,Sodiq,processing,debit,Tvmfyyptspe,Tvmfyyptspe,12/5/24
100.23,Sodiq,success,credit,Tvmfyyptspe,Tvmfyyptspe,12/5/24
100.23,Sodiq,success,debit,Tvmfyyptspe,Tvmfyyptspe,12/5/24
200.00,,processing,debit,Tkpcibxzilx,Tkpcibxzilx,12/6/24
10.00,,processing,debit,Tkpcibxzilx,Tkpcibxzilx,12/6/24
200.00,,processing,debit,Tjczgycnovt,Tjczgycnovt,12/6/24
10.00,,processing,debit,Tjczgycnovt,Tjczgycnovt,12/6/24
100.00,,success,debit,Tqsmsmhtuzt,Tqsmsmhtuzt,12/3/24
10.00,,success,debit,Tqsmsmhtuzt,Tqsmsmhtuzt,12/3/24
50.00,,processing,debit,Tgfafronluo,Tgfafronluo,12/6/24
10.00,,processing,debit,Tgfafronluo,Tgfafronluo,12/6/24
100.23,Sodiq,success,debit,Tsmikdaqvsq,Tsmikdaqvsq,12/4/24
